Nuclear: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,3.3,2.9,3.2,3.3,3.2,3.4,3.8,4.0,5.7,9.8,11.4,12.0,12.4,14.1,15.5,15.9,16.7,19.5,22.0,25.3,30.0,38.6,48.3,56.2,16.7%,14.5%,9.4%
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
India,-,-,-,-,0.2,0.3,0.2,0.2,0.4,0.4,0.5,0.6,0.4,0.5,0.5,0.6,0.6,0.5,0.7,0.9,1.0,1.1,1.2,1.4,0.9,1.4,1.2,1.4,1.4,1.1,1.7,1.9,2.3,2.6,2.9,3.6,4.3,4.4,4.1,3.8,4.0,4.0,4.0,3.4,3.8,5.2,7.3,7.5,7.5,7.8,8.7,8.6,8.5,-1.0%,8.0%,1.4%
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Japan,^,0.1,0.2,0.2,0.2,0.7,1.6,2.0,2.1,4.2,4.9,8.3,6.4,11.8,14.0,18.7,19.4,23.9,24.6,28.7,36.1,37.4,42.7,39.3,42.0,44.0,47.2,49.1,56.0,58.4,64.9,67.1,72.7,73.8,71.8,72.2,72.5,71.1,52.1,64.7,66.3,68.9,63.1,57.0,62.1,66.2,36.9,4.1,3.3,-,1.0,4.0,6.6,64.9%,-24.8%,1.1%
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Pakistan,-,-,-,-,-,-,^,^,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,0.2,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.5,0.9,1.2,1.2,1.1,1.1,1.3,1.8,39.5%,7.8%,0.3%
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,^,0.5,0.7,0.8,0.7,0.9,2.0,2.7,3.8,6.4,8.9,9.1,10.7,12.0,12.7,12.8,13.2,13.3,15.2,16.7,17.4,20.3,23.3,24.7,25.4,27.0,29.3,29.6,33.2,33.7,32.3,34.2,33.4,33.6,35.0,34.0,31.4,35.4,37.3,36.7,33.6,-8.1%,0.9%,5.6%
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,^,0.6,1.4,1.9,2.4,3.0,4.3,5.6,6.5,6.1,7.5,6.9,6.4,7.4,8.0,7.7,7.8,7.9,8.0,8.6,8.2,8.3,8.7,8.7,8.0,8.9,8.8,8.9,9.0,9.0,9.2,9.2,9.4,9.4,9.5,9.1,9.4,9.6,8.3,7.2,5.1,-28.9%,-2.3%,0.9%
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Total Asia Pacific,^,0.1,0.2,0.2,0.4,1.0,1.8,2.2,2.7,4.7,5.5,9.0,6.9,13.5,16.7,21.9,23.0,28.2,31.7,37.9,47.5,51.2,60.3,56.8,60.1,65.0,69.3,71.1,78.8,84.2,92.8,97.6,104.0,108.2,110.1,113.1,114.6,117.5,104.5,119.0,125.2,128.6,123.3,119.7,125.3,131.7,109.1,78.0,78.1,83.9,95.0,106.0,111.7,5.7%,-1.9%,18.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,5.8,7.8,9.6,11.9,14.4,17.7,24.9,34.1,45.9,59.6,82.4,98.1,121.2,140.1,144.7,161.0,189.2,207.4,232.9,281.6,337.0,360.9,392.6,428.0,440.2,452.7,474.4,478.0,494.4,503.7,525.5,544.6,540.9,550.2,571.2,584.0,600.5,610.1,597.7,623.9,626.6,634.4,621.5,619.5,610.8,626.2,600.0,559.5,563.8,575.0,582.8,591.2,596.4,1.1%,-0.7%,100.0%
of which: OECD,5.4,7.4,9.1,11.2,13.4,16.4,23.4,31.6,42.1,53.8,74.2,87.1,107.4,125.1,127.3,139.9,163.7,177.8,198.2,236.3,284.3,310.3,334.2,360.5,374.4,388.5,409.8,414.8,431.3,444.1,462.9,475.2,470.8,481.5,499.5,507.2,519.6,524.2,505.6,530.3,532.2,537.2,521.6,517.0,508.5,521.0,488.4,444.0,447.1,450.0,446.8,445.9,442.6,-0.5%,-1.8%,74.2%
                 Non-OECD,0.4,0.5,0.5,0.7,1.0,1.3,1.5,2.5,3.8,5.8,8.2,11.0,13.8,15.0,17.5,21.1,25.5,29.6,34.7,45.3,52.6,50.6,58.4,67.5,65.7,64.2,64.6,63.1,63.2,59.6,62.6,69.5,70.1,68.7,71.7,76.8,80.9,85.8,92.2,93.5,94.4,97.2,99.8,102.5,102.3,105.3,111.7,115.5,116.7,125.0,136.0,145.4,153.8,6.1%,4.1%,25.8%
                 European Union #,4.5,5.9,7.0,7.8,9.6,9.7,11.2,14.4,15.4,18.1,24.5,29.0,34.7,39.1,43.5,50.8,69.3,76.2,90.1,114.0,139.3,151.5,156.4,169.1,179.4,179.8,185.5,187.2,195.1,194.4,199.5,209.9,212.2,211.1,213.5,213.9,221.6,224.1,225.4,228.3,225.9,224.1,211.7,212.2,202.4,207.4,205.2,199.7,198.5,198.3,194.0,190.1,187.9,-0.9%,-1.6%,31.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 * Based on gross generation and not accounting for cross-border electricity supply. Converted on the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ^ Less than 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 _ Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR includes Georgia and the Baltic States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" #  Excludes Estonia, Latvia and Lithuania prior to 1985 and Croatia and Slovenia prior to 1990.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Annual changes and share of total are calculated using million tonnes oil equivalent figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
